zh,en
他今天又开始捣乱 因为他妈妈总给他带水果卷 而他糖一吃多就嗨了 所以...,"He was acting up again 'cause his mom keeps packing these fruit roll-ups, and they give him this satanic sugar high, you know."
我还去了趟国家档案馆 想给孩子们订参观票,"Oh, uh, I did stop by the national archives just to maybe book a field trip for the kids."
好玩的是 我...,It's funny.
我简直能发誓在那儿看见你了,"I, uh... I could have sworn that I saw you there."
有个女的跟你特别像,"There was a woman there, and she looked just like you."
不 我倒想呢 我在办公室里闷了一天,"Ah, no, I wish. I was cooped up in the office all day."
是吗 我早该想到的,Yeah. Should have known.
不管她是谁 都不可能有你现在一半的美貌,"Well, whoever she was, she could not have been half as beautiful as you are right now."
行了 你先继续弄,All right.
我去遛狗,"Uh, keep stirring. I'm gonna walk the dog."
来吧 伙计 快点,"Come on, bud. Hey, hey, hey."
你去哪啊?,"Come here. Hey, hey, hey. Where you going?"
过来 过来,Come here. Come here.
真是好孩子 乖,"Yes, you're a good boy. Yes, you are."
真是好孩子,"Yes, you are."
- 怎么了?,What?
- 没事,Nothing.
爱你,Love you.
我马上回来 走吧 伙计 走,"- I'll be right back. Come on, bud. - Come on."
走吧 真乖,Come on. Such a good boy.
真是好孩子,"You're a good boy. Yes, yes, yes."
- Bantam金融 您需要什么服务?,Bantam finance. How may I direct your call?
- 你好 我的账户有点问题,Hi. I'm having a problem with my account.
号码是DS4 -5 -1,"Uh, number Delta, Sierra, 4-5-1."
线路安全 说吧,Line is secure.
知更鸟知道了 请求即刻撤离,Proceed. Mockingbird knows. Requesting immediate evac.
她知道了,She knows.
他走了,He's gone.
我丈夫走了,My husband is gone.
你丈夫从来不存在,Your husband never existed.
Lizzy 我理解你今天为什么要去追Tom,"Lizzy, I understand why you went after Tom today."
你本能地冲进去...,The instinct to jump in is...
但那不会给你带来好的结果,But it isn't gonna serve you well here.
而从情感方面来讲 这种感觉一定就是 难以言喻的背叛和辜负,"And from the emotional point of view, this must feel like an extraordinary violation and betrayal."
但对Tom而言 这是工作,But for Tom it was business.
你知道吗 我们那天还做爱了?,Do you know we had sex the other night?
你知不知道那让我觉得多恶心?,Do you have any idea how filthy that makes me feel?
不幸的是 Lizzy 你已经深陷泥潭了,"Unfortunately, Lizzy, you're chest-deep in filth, and you're gonna have to wade through it"
- 你只能跋涉过去 走向对岸,- to get to the other side.
- 我爱过他,- I fell in love with him.
我嫁给了他,I married him.
我们... 我们本来要...,We... we were gonna have...
能跟他有个孩子让我那么激动,I was excited to have a child with him.
我选择了他 让我幸福 给我安全感,"He was the one person I chose in my life who made me happy, who made me feel safe."
但我现在是个什么样子?,What does that say about me?
我们曾经有过的一切 都不过是我虚构的想象...,Everything that we had was just a figment of my imagination...
比虚构还糟...,Worse than a figment...
是谎言,A lie.
它就摆在我眼前 我却没看见,"It was right in front of my face, and I didn't see it."
我就...,I just... believed it.
相信了 全盘接受,All of it.
只有时间 能让你再次找回自己,Time is the only thing that will allow you to find yourself again.
如果你又要让我耐心 我发誓...,"If you tell me to be patient one more time, I swear to God..."
我会找到他 找到答案 不管有没有你的帮助 我都会这么做,"I am going to find him, I'm gonna find answers, and I'm going to do it with or without your help."
这个案子 我需要线索,The case. I need a lead.
Lizzy 如果你想找到Pavlovich兄弟现在何处 就得先找到他们曾去过哪里,"Lizzy, if you want to find where the Pavlovich brothers are, you need to find out where they've been."
直升机是关键,The helicopter is key.
Pavlovich兄弟烧掉直升机是想掩盖证据 比如DNA和指纹,"The Pavlovich brothers burnt that chopper to cover up evidence... DNA, fingerprints."
那些东西是能确定他们身份的 但直升机呢?,"Those things might have identified the brothers, but what about the chopper?"
尾翼编号是假的 直升机也被重漆过,"The tail numbers were falsified, and the chopper was repainted."
这就是他们的做法 但他们是在哪儿做的?,"That's what they did, but where did they do it?"
我们可以做更深层的鉴证分析吗?,Is there a deeper forensic analysis we can run?
热传导器中有什么微粒?,What particulates were in the heat exchange?
压缩机中有没有水分?,Was there moisture in the compressor?
我会联系鉴证科,I'll reach out to forensics.
每滴燃料都要分析 每颗沙子都要追踪,Analyze every drop of fuel. Track every grain of sand.
我要知道那架飞机去过哪里,I want to know where that chopper's been.
就是他,That's him.
抱歉 伙计 这不是出租车,"I'm sorry, man. Not for hire."
你好 Symir 我就开门见山了,"Hello, Symir. I'll be brief and to the point."
昨天你有个客人...,Yesterday you had a customer...
是在国家档案馆外面上车的,Picked him up outside the national archives.
抱歉 伙计,"Sorry, man."
Symir 你应该收下这钱的,"Ohh, Symir. You should have taken the money."
那个客人在哪下的车?,Your passenger... Where'd you drop him?
微积分,Calculus.
我现在一想起导数 就想起当初会堂的那个导师...,I can't even think about derivatives without thinking of that tutor in manor hall...
叫Cindy什么的,Cindy something-or-other.
她从来不穿内衣 走路老是一跳一跳的,Never wore a brassiere; Always a bounce in her step.
我已经交代了 也合作了,"Look, I'm talking, cooperating."
你不用复印我的驾照和信用卡,"You don't need to copy my driver's license, my credit cards."
我们只是想保证能知道去哪找你,"We just want to make sure we know where to reach you,"
Geoffrey P. Seevers 万一我们以后有别的问题呢,"Geoffrey P. Seevers, should we have more questions."
跟我说说这本书,"So, tell me about the book."
我说了...,I told you...
我把它拿走 送到别的地方,I pick up and drop off.
我不知道其他人的名字 只是送信的,I don't know names. I'm the messenger.
这是什么?,What is it?
密码吗?,Some kind of code?
这种送货的活你干了多少次了?,How many times have you done this... these drops?
这是第四次,This was the fourth.
把你每一次送货的地方写下来...,I need you to write down the location of each drop you've made...
取货和卸货的地点都要,The pickup and the drop location.
天呀 真的假的?,"Oh, my God."
帕格萨斯普林斯公共图书馆?,What? Pagosa Springs public library?
我原先有个水泵就坏在了帕格萨斯普林斯,I had a water pump go out in Pagosa Springs.
就在狼溪那座破山那儿,Bitch of a mountain... Wolf Creek Pass.
我本以为要在那儿和山民过一辈子了 好在有个大好人在当地修车厂帮我修好了,Thought I was gonna end up living out there with the hill people until this Teddy bear of a man fixed me up at the local garage.
我永远不会忘记他 他叫Tracy Woods,I'll never forget him. Tracy Woods.
你不认识Tracy吧?,"You don't know Tracy, do you?"
他穿个皮坎肩 留着小胡子...,"Leather vest, mustache..."
叫Tracy Woods?,Tracy Woods?
不认识,No.
不知道他是不是还在修水泵,I wonder if he's still fixing water pumps.
总之 这会是永远美好的回忆,"Anyway, it'll always be a fond memory."
单子给我,The list.
完事了?,"S-so, that's it?"
我们...,We're...
那包裹怎么办?,What about the package?
送走 或者还回去 反正你的上司让你干嘛就干嘛,You're gonna deliver it or return it or whatever the people you work for want you to do with it.
你要记住 咱们这次谈话从来没发生过,"And as far as you're concerned, we never had this conversation."
Dembe?,Dembe?
请复印一下,"A copy, please."
但愿你不着急 这可能要花个几分钟,I hope you have nothing pressing. This may take a minute or three.
你确定不认识他吗?,You sure you don't know him?
皮坎肩 小胡子...,"Leather vest, mustache..."
遗憾,Shame.
我有发现,I got something.
好了 我也不想对气象色谱,Hey.
或者齿轮润滑油有这么多了解 不过我觉得Reddington先生发现了什么,"Okay, I never wanted to know this much about gas chromatography or gear lubricants, but I think Mr. Reddington is onto something."
看这个,Look at this.
我们调出了NTSB的实验室报告 直升机引擎里检测到了两种不同的混合物,"We pulled the lab reports from the NTSB, and the chopper's engine tested positive for two distinct compounds."
一种是乙烯磷 能够催熟烟草,"The first is ethephon, which is a ripening agent for tobacco."
- 这对我们有用吗?,- And how does that help us?
- 来看,- Take a look.
这个地区的烟草产量十分低下,Tobacco production's way down in this area.
从1998年起 联邦政府给农民补贴 让他们不要种烟草,"In fact, since 1998, the federal government is actually paying farmers not to grow it."
但烟草农场还是很多,"Okay, but there's still plenty of tobacco farms."
我同意 这就引出了二号化学混合物,"I agree, which brings us to chemical compound number two."
- 这个是用于甜玉米种植的,This one is used to grow sweet corn.
- 我们把这两者交叉对比?,So we cross-reference the two?
没错 我们要找那种农药厂商 之前供应烟草种植者,Exactly. We are looking for a pesticide manufacturer who used to supply tobacco growers but made the transition to corn.
- 而后来转向了玉米种植业 - 找到了多少?,And how many of those are there?
17家 等等,17. Wait.
这当中 有11家都不在直升机的燃料允许范围内,"Of those, 11 are outside of the fuel range of this chopper."
剩下的这六家 只有一家有足够大的建筑 可以把偷来的直升机藏起来并进行整修,"Uh, of the other six, uh, only one has a structure large enough to get that stolen helicopter out of view and under construction."
哈利法克斯农化所,Halifax Agro-Chem.
要我说 那就是他们的据点,"If I had to bet, I'd say that's their staging site."
在拐角那边 半个街区,"It's around the corner, half a block up."
我看见了七个外部摄像头 这还是能看见的,"I make seven exterior cameras, and those are the ones they want us to see."
这个地点也在那张交货单子上?,And it's on the list of drop sites I gave you?
Keen先生在里面有多久了?,How long has Mr. Keen been inside?
我四个小时前跟踪他过来的,I tailed him here four hours ago.
很好 谢谢 Preston,"Lovely. Thank you, Preston."
- 需要我打电话给Sabusawa吗?,- You want me to call Sabusawa?
- 那最好不过 但他正在厄瓜多尔捞人呢,"- That would be ideal, but he's working an extraction in Ecuador."
那你打算怎么把Keen从那土房子里弄出来?,Then how do you plan on getting keen out of that concrete box?
- 李小萍那边有线索了,- We have a lead on Xiaoping Li.
- 太好了 - 说说吧,- Excellent.
- 我们认为她被关在Falls Church的哈利法克斯农化所,- Tell me. - We think she's being held at Halifax Agro-Chem in Falls Church.
- 我们在召集人手,We're assembling a team.
- Lizzy 关于Tom...,"Lizzy, about Tom..."
我不想跟你谈论Tom,I don't want to talk about Tom with you.
要如何行动 你有你的观点 我也有我的,"You have your opinion on how to proceed, and I have mine."
你别费劲了 我来处理Tom,Just don't bother yourself. I'll deal with Tom.
Lizzy 我保证那不会有任何结果 你也绝不会满意,"Lizzy, I assure you that will yield no answers and little satisfaction."
- 那就走着瞧呗?,"Well, I'll find out, won't I?"
- 我希望能说服你别这么做,I wish I could talk you out of this.
你不能,You can't.
李小萍的事祝你顺...,"Well, good luck with Xiaoping..."
下午好 先生们 我是Raymond Reddington,"Good afternoon, gentlemen. I'm Raymond Reddington."
看这个,Hey. Look at this.
这是什么?,What are we looking at?
不知道,I have no idea.
快出去!,Hey! Get out of here!
快走!,Go!
怎么回事?,What the hell was that?
出去!,Out! Out!
出去!,Move!
快!,Move!
后退 目标已经上路 我们正向车子移动,Fall back. Asset en route. We're moving to the cars.
看着像是某种编号,"I mean, it looks like some sort of serial number."
或者原子序数...,Or an atomic number...
元素周期表上的东西,Something from a periodic table.
为什么这么想?,Why do you think that?
因为我唯一知道的 会把v和g连起来用的单词是avgolemono,"Because the only word I know that contains the letters ""v-g"" together is avgolemono."
我不知道那是啥,I don't know what that is.
一种汤,It's a soup.
鸡汁 蛋黄 柠檬汁混合在一起,"Chicken stock, egg yolks, and lemon juice."
怎么了?,What?
我会做饭,I cook.
重点在于 李小萍也许是给我们留了一条信息,"The point is, maybe Xiaoping Li left us a message."
我把这个组合在车辆管理局的注册信息里查一下,I'll run the letter combination against the DMV registry
- 看有没有线索,- and see if we can get a hit.
- 怎么样?,- Any luck?
- 我找不到Reddington,- I can't get ahold of Reddington.
- 你告诉他李小萍被关在哪儿了?,"- You told him the location where the brothers were holding Xiaoping Li, right?"
你不觉得太凑巧了吗 我们一去 他们就不见了,"- Mm-hmm. - Don't you find it a hell of a coincidence that we show up there, they're gone, and now we can't get ahold of Reddington?"
- 我们被玩了,- We've been played.
- 不,- No.
Red让我们找上Pavlovich兄弟 因为他知道那会使他找到李小萍,Red put us on to the Pavlovich brothers because he knew it would lead him straight to Xiaoping Li.
那女人值好几百万 - 你要去哪?,That woman's worth millions.
- 我要去找Reddington 找找答案,"Where are you going? I'm going to find Reddington, get some answers."
Reddington 请你给我回电话,"Reddington, I need you to call me, please."
这个案子我需要帮助,I need some help with the case.
Reddington送来个礼物 祝你开心,A gift from Reddington. Enjoy.
我们浪费了两年,Two years wasted.
我们这两年是在干什么?,Two years we spent. On what?
你在不在乎你对我做了什么...,Do you care at all what you've done to me...
对我的生活做了什么?,What you've done to my life?
你这是怎么回事?,What has it done to you?
什么人能做出这种事?,Who could do such a thing?
你会以为 找到你 阻止你 就能让我开心,"Finding you, stopping you..."
你以为你会在监狱度过余生,You'd think I'd be happy you're gonna spend the rest of your life in prison.
你以为我能从中得到一些满足 但我不会 因为...,"You'd think I'd get some satisfaction out of that, but I don't because nothing..."
无论什么判决 惩罚 或是复仇 都无法弥补你做下的事情,"No sentence, no punishment, no revenge, could ever come close to making up for what you've done."
- 我只是在尽我的职责,- I was doing my job.
- 你的职责?,- Your job?
那是我们的生活!,That was our life!
我们本来要有个孩子...,We were going to have a baby to...
你求我要个孩子!,You begged me to have a baby!
- 我在尽我的职责,- I was doing my job.
- 别再说你的职责了!,- Stop talking about your job!
你 这一切...,"You, this... Everything was a lie!"
都是谎言! 我的生活是个谎言!,My life was a lie!
每种感情 每段回忆...,"Every feeling, every memory..."
对你的妻子说句话吧 她要死在你面前了,"Say something to your wife, who's dying in front of you."
说啊,Say something.
是因为鞋,It was the shoes.
什么意思?,What does that mean?
我就是那时知道的,That's when I knew.
那双棕色的皮鞋,It was those brown leather shoes.
那是我们第三次或第四次约会时,It was our third or maybe fourth date.
你来到我在霍尔斯特德的家 我们订外卖,"You'd come over to my place on Halstead, and we ordered, uh..."
租电影 但没能看完 因为我们后来...,Takeout and rented a movie that we never finished because we ended up...
而你要早起去工作 我起床时 你已经走了,"And you had to get up early for work. And by the time I got up, you were gone."
我记得我衣冠不整地站在鞋架前 想拿我的鞋 然后我看见你在我鞋子的尘土上,"I remember standing in the closet, half-dressed, reaching for my shoes when I saw that you had drawn this little heart"
画了一颗心,In the dust on my shoe.
你记得吗?,You remember that?
那是最甜蜜的事了,It was the sweetest thing.
从那一刻起 我就感觉...,"And ever since that moment, I just felt..."
我同情你...,Sorry for you...
因为我知道...,Because I knew...
我知道你爱上我了,I knew that I had you.
我心里有一部分希望你没能爱我...,Part of me didn't want it to work...
但你爱了,But it did.
阿基米德,Archimedes.
- 再说一遍?,- I beg your pardon?
- 阿基米德定律,- Archimedes' formula.
"你知道吧 就是那个... 裸着大喊""找到了""的人","You know, uh, the... the naked guy who shouted ""Eureka."""
她为什么要写个数学公式?,Why would she write down a mathematical formula?
也许这是种他们不懂的密码或者语言,Maybe it's some kind of a code or a language they don't understand.
阿基米德原理说 浸在液体中的物体 - 受到浮力作用 而大小...,"Archimedes' principle indicates that the upward buoyant force which is exerted on a body immersed in fluid,"
- Aram,- whether fully... - Aram.
排水量 船会吃水,"Um, water displacement. Boats displace water."
她在告诉我们 他们要怎样送她出国,She's trying to tell us how they're getting her out of the country.
联系海岸警卫队,Contact the coast guard.
把那几个兄弟和李小萍的照片 送到东海岸的所有港务局,Get photos of the brothers and Xiaoping Li to every port authority on the eastern seaboard.
你要怎么告诉他?,What are you gonna tell him?
怎么样了?,Hey. What's going on?
李小萍的案子有进展吗?,Where are we on Xiaoping Li?
他们要用船把她运出国,They're trying to ship her out of the country.
我们在梳理旅客名单 你在哪?,We're combing through the manifests now. Where are you?
等Reddington 他还没出现,Waiting on Reddington. He still hasn't shown.
我告诉你 Keen 他利用了咱们,"I'm telling you, Keen. He used us."
就Pavlovich兄弟这些人,These guys... The Pavlovich brothers...
你记得他们做了什么 桥上出事那天你也在,You remember what they did. You were there that day on the bridge.
等咱们抓到他们 我希望你也在场,"When we take them down, I want you to be there."
我会的 只要...,"I will be, just as soon as..."
我一会儿给你打回去,I'm gonna have to call you back.
想得美,Nice try.
我渴了,I was thirsty.
怎么了?,Yes?
- 她在哪?,- Where is she?
- 谁?,- Who?
李小萍 你带走了她,Xiaoping Li. You took her.
你利用FBI和Pavlovich兄弟抓到了Tom 然后呢 再抓李小萍?,"You used the FBI and the Pavlovich brothers to get to Tom and what, get Xiaoping?"
做笔大生意?,Make some bigger deal?
买下她的秘密?,Trade on her secrets?
细菌武器对我没有用啊 至于FBI?,I have no use for germ warfare. And as for using the FBI?
要不是因为能双方获益 我最开始就不会加入合作,I wouldn't be in this relationship if there wasn't a mutual benefit.
- 我不知道,- I don't know.
我试过把她交易过来 但谈判没成,"I tried to bargain for her life, but negotiations went sideways."
为了抓到Tom 我只能做这么多了,It was all I could do to get Tom.
- 如果我们不找到她...,If we don't find her...
如果她被送回中国 她会死的,"If she gets sent back to the Chinese, - she's gonna die."
- 把你掌握的消息告诉我,- Tell me what you know.
我们认为他们要把她安排在货船上 我们不确定,We think they're putting her on a cargo ship. We're not sure.
- 我们在查旅客名单 时间表 行船路线,"We're looking over the manifests, timetables,"
- 她不是一般货物 Lizzy,"- and shipping routes. - She isn't cargo, Lizzy."
她是走私货 这是场走私行动,She's contraband. This is a smuggling operation.
而任何从切萨皮克走私的人或物 Rolph Cisco都知道,And nothing gets smuggled in or out of the chesapeake without Rolph Cisco knowing about it.
让Donald去看看他,Have Donald pay him a visit.
他咋对你这么痴迷?,What is his obsession with you?
你俩真不是爸爸和女儿的关系吗?,"You guys got, like, a, uh, daddy-daughter thing going on?"
你的计划是什么?,What's your plan?
爸爸要过来吗?,Is daddy coming over?
他会让我交代问题吗?,Is he gonna make me talk?
他不会,"No, he's not."
我会,I am.
Rolph Cisco?,Rolph Cisco?
跟我们讲讲Pavlovich兄弟,Tell us about the Pavlovich brothers.
你为谁干活?,Who do you work for?
无可奉告,I have nothing to say.
- 你为谁干活?,- Who do you work for?
- Liz 得了,"- Liz, come on."
你才不敢呢,You don't have it in you.
天!,Aah! God!
啊!,Aah!
让我出去! 求你们!,Let me out of here!
让我出去!,Get me out!
没事了 没事了,It's okay. It's okay.
放松 放松 我们是好人,"Easy, easy. We're the good guys. Here."
我放你坐下,I'm gonna put you down.
放松,Easy.
你弄断了我的拇指,You broke my thumb.
