source,reference,prediction,reference_len,prediction_len,token_f1,length_gap
是的，谢谢，谢谢。 我叫史密斯，斯图尔特·史密斯。,"Yes, thank you, thank you.","yes , , , , . .",8,7,0.5333,1
我什麼也看不到.,I can't see anything.,i ' ' t t t you .,7,8,0.5333,1
冯·伯恩伯格夫人怎么说？,What did Miss von Bernburg say?,"- von bernburg , miss von bernburg ?",7,8,0.5333,1
但是你有我们的血统,But you are of our blood.,but you ' re going to our .,7,8,0.5333,1
我很喜欢她,I'm crazy about her!,i ' m going her her her .,7,8,0.5333,1
-你为什么告诉我? -我告诉你是16。 - Why are you telling me?,- Why are you telling me?,- you you you want to me ?,7,8,0.5333,1
哦，你好。 你是米勒先生，对吗?,"Oh, how do you de?","oh , you , sir , sir ?",7,8,0.5333,1
- 你知道我是怎么想的吗？,- You know what I think it was?,- you know you know ?,9,6,0.5333,3
我才不管他呢。 你觉得那家伙能惹我生气吗？ I ain't paying no attention to him.,I ain't paying no attention to him.,i ' ' t t you to me .,10,9,0.5263,1
别把箱子在这儿乱放,Don't pile the bags in a heap.,don ' t t <unk> to the <unk> .,10,9,0.5263,1
因为你不需要找人修理它。 一些笑话! Because you don't have to have it fixed.,Because you don't have to have it fixed.,i ' ' t you to you .,11,8,0.5263,3
我不是告诉过你他会很棒吗？ Didn't I tell you he'd be marvelous?,Didn't I tell you he'd be marvelous?,i ' ' t you ' t you to you ?,12,11,0.5217,1
"抱歉，妈，但那不是我们表演的一部分。 I'm sorry, ma, but that's not part of our act.","I'm sorry, Ma, but that's not part of our act.","oh , , , ' s not , that ' s all right .",17,14,0.5161,3
记住，你这个流氓！,"Remember this, you cucumber!",""" , you , you !",6,6,0.5,0
先生,Monsieur.,mr .,2,2,0.5,0
第6節,Canto VI,canto .,2,2,0.5,0
哦! Oh!,Oh!,the !,2,2,0.5,0
- 借光.,- Excuse me.,- i ' .,4,4,0.5,0
166號房?,166?,what ?,2,2,0.5,0
- Go on.,- Go on.,- i ' .,4,4,0.5,0
- 我不是个孩子,- I'm not a child.,- i ' ' t t you .,8,8,0.5,0
"喝酒, 先生們.","Drink, gentlemen.","mr , mr .",4,4,0.5,0
- 我們的火車?,- Our train?,- we ' ?,4,4,0.5,0
向前走！,Forward!,the !,2,2,0.5,0
Tom?,Tom?,how ?,2,2,0.5,0
出去!,Move!,go !,2,2,0.5,0
"哦，你的牙齿好大啊! Oh, what big teeth you have!","Oh, what big teeth you have!","oh , , , you , you !",8,8,0.5,0
是那位嗎？,Isn't that right?,that ' s the matter ?,6,6,0.5,0
啊！,Oh!,""" !",2,2,0.5,0
耐心?,Patience?,who ?,2,2,0.5,0
- 你不表白不是会更好吗？,- Hadn't you better not commit yourself?,- no ' t you you ' t you ?,10,10,0.5,0
"Really, Mr. Morgan.","Really, Mr. Morgan.","oh , , , . .",6,6,0.5,0
埃德嘉！,Edelgard!,the !,2,2,0.5,0
-什么意思？ 什么是什么意思？ - What does this mean?,- What does this mean?,- what what what what ?,6,6,0.5,0
我太伤心了,"Oh, I'm so unappy.",i ' m going to the <unk> .,8,8,0.5,0
近来怎样？,How are you?,"how , that ?",4,4,0.5,0
快看！,Look!,""" !",2,2,0.5,0
那是你嗎?,Is that you?,you are you ?,4,4,0.5,0
就是他,He's the one!,""" he ' s him .",6,6,0.5,0
Rumors? Rumors?,Rumors?,how ?,2,2,0.5,0
"是你嗎, 海因裏希?","Is that you, Heinrich?","you , you , you ?",6,6,0.5,0
哇! ! Whoopee!,Whoopee!,let !,2,2,0.5,0
- I know.,I know.,- i ' m .,3,5,0.5,2
那个人...,"""He... himself...",that ' s . . . .,9,7,0.5,2
"哦,t 'ain不。 但我有个坏消息要告诉你。","Oh, t'ain't that.","oh , i ' m not .",9,7,0.5,2
你得支持我们。 You've got to stand behind us.,You've got to stand behind us.,you ' re gonna to get .,9,7,0.5,2
保佑你。 Bless you.,Bless you.,- you ' re .,3,5,0.5,2
"- 因為, 你是個賊!","- Why, you're a thief!","- yes , you , you !",9,7,0.5,2
现在不行,Not now.,now ' t t .,3,5,0.5,2
"""我会伴你身旁""",I'll be by Your side,""" i ' ll be you you . """,7,9,0.5,2
我們跳舞?,We'll dance?,we we ?,5,3,0.5,2
你看著吧.,You'll see. Here.,you ' re you .,7,5,0.5,2
- 不一樣?,- Different?,"- no , no ?",3,5,0.5,2
玛努薇拉 我要求绝对服从纪律,"Manuela, I require total discipline.","manuela , i ' ll be to me .",7,9,0.5,2
- 做什麼? 哦.,- What?,- what do you .,3,5,0.5,2
不要管我了.,Don't worry about me.,no ' t t .,7,5,0.5,2
"加拉格，她才是真命天子。 Gallagher, she's the real McCoy.","Gallagher, she's the real McCoy.","oh , she , she , she ' s <unk> .",9,11,0.5,2
謝謝你，先生,"Thank you, sir.","you , , , , . .",5,7,0.5,2
"Here's Texas guinan. And tonight, she's the sucker.","And tonight, she's the sucker.",i ' ' s the <unk> .,9,7,0.5,2
"-我来了。 你好,夏普先生。",- Here I am.,"- i ' m , , .",5,7,0.5,2
我猜你肯定会喜欢她的 嗯,- I know you'll like her. - Mm-hmm.,i ' ll tell you ' ll be her .,14,10,0.5,4
- 怎么了?,What?,- what ' s matter ?,2,6,0.5,4
我会告诉你路上的细节。,I will tell you the details on the way.,i ' ll tell you .,10,6,0.5,4
不了，母親,"No, mother.","no , no , no , no .",4,8,0.5,4
妈妈!,That's my mother!,mother !,6,2,0.5,4
... 然后把小船推翻，这样看起来就像是一场意外,"""...then overturn the boat... it will look like an accident.""","the <unk> , , , , . . . . . . .",19,13,0.5,6
然后，阿道夫， 你是不是无法控制地 解开了你的领带？,"And then, Adolph, didn't you, with - with an uncontrollable impulse - didn't you untie your tie?","- oh , , , you ' t you you you ' re you ?",25,15,0.5,10
别担心，我会帮你办妥一切,"Don't worry, baby. I will fix you so that you are as good as new. You will see.","don ' t t you , i ' m you you .",24,12,0.5,12
把你每一次送货的地方写下来...,I need you to write down the location of each drop you've made...,you you you to the <unk> . . . . .,18,11,0.4828,7
一我走 一去向玛特尔小姐献殷勤去．,- I'm going. - My compliments to Mademoiselle Martel.,- i ' ll go to to to to to . .,13,12,0.48,1
"从现在起，你只是安妮·斯凯勒的丈夫。 From now on, you'll be just Anne Schuyler's husband.","From now on, you'll be just Anne Schuyler's husband.","now , , , , you ' s <unk> .",15,10,0.48,5
你不明白你來這,"Don't know what you want, do you?",you don ' t you you you you you .,11,10,0.4762,1
从来都不信 我自己都不信,- Never! - I wouldn't believe it myself.,i ' ' t t believe to me .,12,9,0.4762,3
让他进来，他是我的客人！,"""Let him in, he's my guest !""",he he he he ' s him him !,12,9,0.4762,3
恐怕你不适合当母亲...,We are afraid you're no fit mother... ـــــــــــــــــ ـــــــــــــــــ,you ' ' t you . . . .,12,9,0.4762,3
这是我幸运的兔子脚(吉祥物),"""That's my lucky rabbit's foot.""",that ' s my <unk> <unk> <unk> <unk> .,12,9,0.4762,3
我想你会喜欢这个的。 I think you'll like this.,I think you'll like this.,i ' ' t you ' t you .,8,9,0.4706,1
一嗯．请相信这一点 一请相信,"- Oh, please. - Please.","- i , i ' m sorry . .",8,9,0.4706,1
"我能看看那卷轴吗, 约瑟夫爵士?","May I see that scroll, Sir Joseph?","i ' m see , i , ?",9,8,0.4706,1
我回家看望我的孩子。,I've come home to see my child.,i ' ll be my my .,10,7,0.4706,3
我早厌倦了,I'm tired of feeding ya for nothing.,i ' m going to <unk> .,10,7,0.4706,3
"-我要这顶帽子。 -那外套呢? - Well, I'll take the hat.","- Well, I'll take the hat.",- i ' m going to .,10,7,0.4706,3
"哦，我希望如此。 Oh, I hope so.","Oh, I hope so.","oh , i ' m i , i ' m .",6,11,0.4706,5
這兒沒有人.,There's no one here.,that ' s all right .,7,6,0.4615,1
可能現在不是很陌生了.,Maybe not so strange now.,now ' s not . . .,6,7,0.4615,1
我想做任何事.,I want to do anything.,i ' m going to . .,6,7,0.4615,1
我們去找她.,Let's go find her.,we ' ll her her .,7,6,0.4615,1
太糟糕了,"""That's awful!""",that ' s the matter .,7,6,0.4615,1
-你可以走了，斯迈思。,"- You may go, Smythe.","- you ' re you ,",7,6,0.4615,1
这就是他们的做法 但他们是在哪儿做的?,"That's what they did, but where did they do it?",that ' s they they they they they they they they ?,14,12,0.4615,2
你别费劲了 我来处理Tom,Just don't bother yourself. I'll deal with Tom.,"you don ' t t you , i ' m you .",14,12,0.4615,2
我们结婚了。 我想该做的是亲亲言和，妈妈。,We're married.,we ' ' t want to <unk> .,5,8,0.4615,3
- 我恨死薄饼了,- I hate pancakes.,- i ' m going to go .,5,8,0.4615,3
是的，可我希望他没有那么做,Yes. I rather wish he hadn't been.,"yes , i ' m i ' m he ' t want to me .",11,15,0.4615,4
- 他們也不會因為這個殺他.,- They don't kill a man for that.,- he ' ' t t t they to him .,11,11,0.4545,0
"听你这么说我很高兴。 Well, I'm certainly glad to hear that.","Well, I'm certainly glad to hear that.","you ' ' t you , i ' m you .",11,11,0.4545,0
"你没有什么可抱怨的，妈妈。 You don't have anything to complain about, Mother.","You don't have anything to complain about, Mother.","you ' t you , that ' s your .",12,10,0.4545,2
我．我非常高兴．小姐,"I'm - I'm extremely happy, madame.",i i i i ' m going to . .,12,10,0.4545,2
你不喜歡只叫我的名嗎?,Wouldn't you like to call me by the first name?,you ' t you you want to my ?,13,9,0.4545,4
"我想你是对的，妈妈。 I guess you're right, mother.","I guess you're right, Mother.","i ' you , i ' m you , i ' m .",9,13,0.4545,4
我可想不出什么好办法,"I really oughtn't to, if I had any sense.",i ' ' t want to tell you .,13,9,0.4545,4
一不，不，不是罗德斯基 一你怎么知道？,"- No. No, it's not Rodovsky. - How do you know?","- no , no , no , no , no , you know ?",17,14,0.4516,3
记住，事后我们五五分成 此外你保证不能打伤我,"""Remember, we split fifty-fifty; and you promise you won't hurt me.""",""" , , we ' t want to tell you .",20,11,0.4516,9
我也一样。 So am I.,So am I.,i ' m sorry .,4,5,0.4444,1
——65美元。,- $65.,- that ' s .,4,5,0.4444,1
那是什麼？,- What was that?,what is what ?,5,4,0.4444,1
- Sit down.,- Sit down.,- i ' m .,4,5,0.4444,1
你走吧.,You can go away.,you ' re .,5,4,0.4444,1
-坐好。 闭上你的嘴。 -陷阱关了？,- Sit still.,"- yes , you .",4,5,0.4444,1
"可以, 重子。","No, Shigeko.","i , , , .",4,5,0.4444,1
不用了,No need to.,no ' s no .,4,5,0.4444,1
"你要怎么做，告诉我怎么写剧本吗？ What you gonna do, tell me how to write a play?","What you gonna do, tell me how to write a play?","why you want to tell you , i ' m you to me ?",13,14,0.4444,1
——另一个电报。 -谢谢你，迈克。,- Another telegram.,- i ' m .,4,5,0.4444,1
我却永远不会忘记你,"And yet, I'll remember you always.",i ' ' t t you you .,10,8,0.4444,2
- 你已經殺了一個人了!,- But you've just killed a man!,- you ' re going to the !,10,8,0.4444,2
"比如, 我們提供拖布.","For instance, we'll take mop rags.","i , we ' ve got . .",10,8,0.4444,2
- 滾開.,"- Go away, please.",- i .,6,3,0.4444,3
我将签署。 I'll sign.,I sign.,i ' m <unk> <unk> .,3,6,0.4444,3
- Very good.,- Smythe.,- i ' m sorry .,3,6,0.4444,3
- 再说一遍?,- I beg your pardon?,- how ?,6,3,0.4444,3
- 電報.,- Telegram.,- that ' s . .,3,6,0.4444,3
- 他在.,- Yes.,- he ' s . .,3,6,0.4444,3
- 小心 来,- Aah.,- come on the <unk> .,3,6,0.4444,3
罚你今晚不许吃饭,"""For that you don't eat tonight.""",- you ' t t you .,11,7,0.4444,4
来城里吧！,"""COME TO THE CITY!""",the !,7,2,0.4444,5
-我知道 就当是您自己家,"- Yes, I know... Like at home!",- i know i know .,12,6,0.4444,6
我能帮你吗？,Can I help you with anything?,i ' you you you you ?,7,7,0.4286,0
她當然願意，先生,"Of course she would, sir.","she she , , , mr .",7,7,0.4286,0
我要了些香檳.,I've ordered some champagne.,i ' m going to . .,7,7,0.4286,0
"我可以說幾句話嗎, 夫人?","May I say something, Madame?","i ' m not , , ?",7,7,0.4286,0
一今天晚上你有什么事干吗？,- What are you doing tonight?,"- how , you you you ?",7,7,0.4286,0
我厌倦了,♪ I'm tired of ♪,i ' m going to <unk> .,7,7,0.4286,0
找我的房間. 164號房,Looking for my room. 164.,i ' m my <unk> . .,7,7,0.4286,0
真是郁闷的处境,It's a terrible situation.,that ' s <unk> <unk> <unk> .,7,7,0.4286,0
-汉克，你好吗？ -很好，就是有点渴。,"- Hank, how are you?","- yes , you , you .",7,7,0.4286,0
-你这奸诈的家伙。 - Me'? - You double,- You double-crossing hound.,- you ' re your <unk> .,7,7,0.4286,0
- 总是这样,-It's always like that.,- i ' m this .,8,6,0.4286,2
我沒有什麼要隱瞞的.,I have nothing to conceal.,i ' m going to <unk> <unk> .,6,8,0.4286,2
我是来带走她和婆婆回家的。,I came here to bring her back.,i ' m her her .,8,6,0.4286,2
- 我錢夠多的了.,- I have enough money.,- i ' m going to my .,6,8,0.4286,2
我們沒有和你們接洽.,We did not approach you.,we ' ll you want to you .,6,8,0.4286,2
你为什么改变了 这些席次牌呢？,Why did you change those place cards?,why do you do you ?,8,6,0.4286,2
我非常爱科莱特,♪ I'm crazy for Colette ♪,i ' m not <unk> .,8,6,0.4286,2
"打得好，先生，非常利落。 Well bowled, sir.","Well bowled, sir.","well , , , , , , . .",5,9,0.4286,4
"我要这顶帽子，但我想照照镜子。 I'll take the hat, but I want to look in the mirror.","I'll take the hat, but I want to look in the mirror.","i ' m going to <unk> , i ' m <unk> .",16,12,0.4286,4
你弄断了我的拇指,You broke my thumb.,you ' re you to my my wife .,5,9,0.4286,4
一你讨厌她 一亲爱的，不要这么胡闹啦．,"- You hate her. - Oh, darling, don't be ridiculous.","- you ' you , i ' m not . . .",16,12,0.4286,4
我得赶紧走,I got to run.,i ' m going to go to go .,5,9,0.4286,4
为她的王子利益着想...,¶ In the interests of her prince...,she she her her . . . . .,10,9,0.4211,1
我想看到她安全地抵达家时,I wanted to see her get home safely.,i ' ll find her to her . . .,9,10,0.4211,1
我真是疯了,It's all right. I'm dreadfully sorry.,i ' m going to the .,12,7,0.4211,5
一定很喜欢冯·伯恩伯格老师,She must have also had a crush on Miss von Bernburg.,"- no , miss von bernburg .",12,7,0.4211,5
"- 她要醒了, 會給我打電話的.",- She'll be waking up and calling for me.,- she ' s all right .,12,7,0.4211,5
"但是我, 相信我... 如果一個人不瞭解死亡, 它就不會瞭解人生.","But I, believe me... if a man doesn't know death, he doesn't know life.","but i ' m not , i ' m not <unk> . . .",24,14,0.4211,10
保罗 我真替你高兴,"- That's not where I'm going. I live over there. Paul, I'm so happy.",i ' m you i ' m you you .,24,10,0.4118,14
"我搞不清楚第一部分，从哪里开始... ... J""当...","I can't get that first part right, where it starts... 2 When...","i ' ' t t t you , i ' ' t t . . . . . . . . . . . . . . .",21,28,0.4082,7
"Outside. Go on, outside.","Go on, outside.","i ' , , .",5,5,0.4,0
你好! How do you do?,How do you do?,you you you you ?,5,5,0.4,0
"-hmm. 这是你的主意，歌洛莉亚。 You know, that was your idea, Gloria.","You know, that was your idea, Gloria.","- i , you , , , , . .",10,10,0.4,0
你想去哪？,Where are you going?,you want to go ?,5,5,0.4,0
"是的,来吧。 Yeah, come on.","Yeah, come on.","yes , , , .",5,5,0.4,0
你掉了錢包,You dropped your wallet.,you ' re you .,5,5,0.4,0
我是弗兰克.,It's Frank.,i ' m going .,5,5,0.4,0
"每次我这么做，你都把事情搞砸。 Every time I do, you mess things up.","Every time I do, you mess things up.","i ' m you , i ' m you .",10,10,0.4,0
So there you are.,So there you are.,i ' m you .,5,5,0.4,0
你是她们的上级,You are their superior.,you ' re her .,5,5,0.4,0
那麼老套.,So threadbare.,that .,3,2,0.4,1
Gee! - Great!,- Great!,the !,3,2,0.4,1
- 你能不能專心點兒?,- Would you please pay some attention?,- you ' t you you ?,8,7,0.4,1
Yeah.,Yeah.,i ' .,2,3,0.4,1
遲些我再告訴你,I'll tell you later. Isn't that so?,"i me , i ' ll you you you you you .",13,12,0.4,1
我要去瑞士,"To Switzerland, to have a baby.",i ' ll go to to .,8,7,0.4,1
聽見了嗎?,Hear me?,- ?,3,2,0.4,1
- 我應該下多少注啊?,- How much shall I bet?,- i ' m going to ? ?,7,8,0.4,1
我想做些記錄.,I want to do some dictating.,i ' m going to <unk> <unk> .,7,8,0.4,1
板! Board!,Board!,i ' !,2,3,0.4,1
她不会去的！,"""She's not going!""",she ' ' t t her !,8,7,0.4,1
A theme? What theme?,What theme?,how ?,3,2,0.4,1
-像这样的一个发现！,- And a find like this!,- this is this this is this !,7,8,0.4,1
"""我是他的妻子""","""l am his wife.""",""" l he ' s him him """,7,8,0.4,1
你好?,Hello?,you you ?,2,3,0.4,1
得了吧！,Spare me!,""" !",3,2,0.4,1
法国大革命,The French Revolution.,the <unk> of the <unk> .,4,6,0.4,2
